               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,             0.03768,            0.025151,           0.0069509,             0.92287,              0.8862,             0.94755,             0.50602,            0.043015,             0.16589,            0.011062,           0.0068971,           0.0068971,           0.0068971
                 109,            0.035315,            0.023771,           0.0066754,             0.93515,             0.90875,             0.95133,             0.48854,             0.03868,             0.14095,           0.0052782,            0.006848,            0.006848,            0.006848
                 110,            0.034427,            0.019884,           0.0059735,             0.93765,             0.68918,             0.84237,             0.46152,            0.044718,             0.25867,            0.012028,           0.0067988,           0.0067988,           0.0067988
                 111,            0.038403,            0.024206,           0.0067488,              0.9149,             0.68142,             0.85946,             0.43566,            0.045809,              0.2612,            0.010023,           0.0067495,           0.0067495,           0.0067495
                 112,            0.035502,            0.023168,           0.0062581,             0.87088,              0.6738,             0.80926,             0.42394,            0.043144,             0.22579,            0.012182,           0.0067001,           0.0067001,           0.0067001
                 113,            0.034203,            0.022436,           0.0060394,             0.87637,             0.61598,             0.82969,             0.42212,            0.043473,             0.26942,            0.016223,           0.0066505,           0.0066505,           0.0066505
                 114,            0.032704,            0.023321,           0.0062981,             0.86963,             0.73133,             0.86308,             0.45026,            0.037994,             0.18839,            0.017265,           0.0066009,           0.0066009,           0.0066009
                 115,            0.034583,            0.022777,           0.0053617,             0.94741,             0.97014,             0.99215,             0.53652,            0.032836,            0.093389,           0.0046067,           0.0065512,           0.0065512,           0.0065512
                 116,            0.034515,            0.024431,           0.0056343,             0.95223,             0.82867,             0.93534,              0.5089,            0.032344,             0.12454,           0.0048909,           0.0065013,           0.0065013,           0.0065013
                 117,            0.033794,            0.021027,           0.0085897,             0.93976,             0.81013,             0.95695,              0.5542,            0.036665,              0.1829,           0.0054753,           0.0064514,           0.0064514,           0.0064514
                 118,            0.036694,             0.02102,           0.0057722,             0.93704,             0.97099,             0.99121,             0.56317,            0.032597,            0.096542,           0.0043699,           0.0064014,           0.0064014,           0.0064014
                 119,            0.032841,            0.022005,           0.0057585,             0.92907,             0.87778,             0.98025,             0.52473,            0.031069,              0.1378,           0.0043404,           0.0063514,           0.0063514,           0.0063514
                 120,            0.033488,            0.027047,           0.0059753,             0.98062,             0.84377,             0.96461,             0.51909,            0.037511,             0.13856,           0.0059341,           0.0063013,           0.0063013,           0.0063013
                 121,            0.032599,            0.022118,           0.0054672,             0.98164,             0.81606,             0.91509,             0.41664,            0.036302,             0.14797,           0.0093263,           0.0062512,           0.0062512,           0.0062512
                 122,            0.032177,            0.023986,           0.0054629,             0.93972,             0.74863,             0.84548,             0.49263,            0.047956,             0.18605,            0.014933,            0.006201,            0.006201,            0.006201
                 123,            0.033555,            0.022283,            0.005464,             0.91507,             0.93821,             0.97536,             0.51594,            0.030867,             0.13028,           0.0049524,           0.0061508,           0.0061508,           0.0061508
                 124,            0.033502,            0.024801,            0.005289,             0.87484,             0.73533,             0.78619,             0.45004,            0.057459,             0.21896,            0.016194,           0.0061005,           0.0061005,           0.0061005
                 125,            0.035784,            0.021001,           0.0047238,             0.84755,             0.79734,             0.84798,             0.42931,            0.048534,             0.17468,            0.012847,           0.0060503,           0.0060503,           0.0060503
                 126,            0.032714,            0.020324,           0.0048358,             0.93729,             0.84125,             0.90109,             0.40708,            0.035735,             0.16979,           0.0070135,               0.006,               0.006,               0.006
                 127,            0.032307,            0.021009,           0.0049455,             0.96811,             0.79154,             0.96459,             0.51398,            0.029304,             0.14216,           0.0043263,           0.0059497,           0.0059497,           0.0059497
                 128,            0.032397,            0.022934,           0.0054353,             0.97937,             0.86421,             0.98557,             0.50976,             0.03112,             0.11309,           0.0042799,           0.0058995,           0.0058995,           0.0058995
                 129,            0.032016,            0.021251,           0.0057107,             0.99168,             0.87244,             0.98076,              0.4989,            0.029909,             0.11993,           0.0038916,           0.0058492,           0.0058492,           0.0058492
                 130,            0.033234,            0.022404,            0.005118,              0.9057,             0.94223,             0.92926,             0.42806,            0.034728,            0.098881,           0.0043372,            0.005799,            0.005799,            0.005799
                 131,            0.032446,            0.023677,           0.0051589,             0.93259,             0.95462,             0.99036,             0.52588,            0.033735,              0.1002,           0.0041392,           0.0057488,           0.0057488,           0.0057488
                 132,            0.030681,            0.023613,           0.0047296,             0.98754,             0.96741,             0.99445,             0.57538,            0.023519,             0.08362,           0.0036636,           0.0056987,           0.0056987,           0.0056987
                 133,             0.03113,            0.019969,           0.0052218,             0.93343,             0.91606,             0.97921,             0.55186,            0.032015,             0.12016,           0.0039865,           0.0056486,           0.0056486,           0.0056486
                 134,             0.03333,            0.023726,           0.0046288,             0.95287,             0.86395,             0.95008,             0.55415,            0.039176,             0.15898,           0.0056735,           0.0055986,           0.0055986,           0.0055986
                 135,            0.030358,            0.022263,            0.004808,             0.92116,             0.85426,             0.95366,              0.4739,            0.036788,             0.15404,           0.0064273,           0.0055486,           0.0055486,           0.0055486
