               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.043082,            0.044575,            0.015364,             0.88876,             0.64761,             0.66027,             0.40346,            0.041542,            0.084373,             0.01132,           0.0030199,           0.0030199,             0.05612
                  94,            0.046111,            0.042818,            0.015958,             0.69376,             0.70561,              0.5978,             0.31532,            0.047161,            0.087548,            0.011384,           0.0030224,           0.0030224,            0.055622
                  95,            0.044141,             0.04296,            0.015662,             0.73646,             0.68105,             0.61968,             0.33304,             0.03698,            0.098042,            0.011623,           0.0030243,           0.0030243,            0.055124
                  96,            0.041865,            0.040053,            0.015287,             0.78131,             0.73734,             0.67034,             0.35548,            0.034088,            0.083687,            0.010411,           0.0030256,           0.0030256,            0.054626
                  97,            0.043131,            0.044475,            0.015678,             0.82452,             0.74327,             0.68472,             0.41686,            0.035841,            0.081946,            0.010646,           0.0030261,           0.0030261,            0.054126
                  98,            0.044684,            0.039715,            0.015654,             0.82125,             0.74326,             0.68117,             0.33852,            0.037162,            0.087255,            0.010726,           0.0030261,           0.0030261,            0.053626
                  99,            0.041016,            0.046134,            0.014816,             0.83736,             0.74359,             0.66304,             0.36054,            0.034498,            0.084879,           0.0099972,           0.0030254,           0.0030254,            0.053125
                 100,             0.05977,            0.045429,            0.013817,             0.64943,             0.70473,             0.53651,             0.23433,            0.057075,             0.08706,            0.011098,            0.003024,            0.003024,            0.052624
                 101,            0.056978,            0.054997,            0.015747,             0.78039,             0.34151,             0.33905,            0.098565,             0.04578,            0.083866,            0.010949,            0.003022,            0.003022,            0.052122
                 102,            0.056941,            0.046069,            0.016113,             0.73193,             0.74319,             0.67188,             0.26725,            0.048731,             0.08638,            0.010699,           0.0030194,           0.0030194,            0.051619
                 103,             0.05479,            0.043477,            0.015945,             0.81725,             0.74144,             0.67785,              0.2846,            0.041111,            0.081737,            0.011395,           0.0030162,           0.0030162,            0.051116
                 104,             0.05252,            0.043833,            0.014403,             0.73455,             0.73109,              0.6552,             0.31164,            0.053026,            0.083388,            0.010843,           0.0030124,           0.0030124,            0.050612
                 105,            0.055928,            0.039284,            0.016102,              0.6694,             0.73093,              0.6181,              0.2946,            0.036021,            0.084754,            0.011514,            0.003008,            0.003008,            0.050108
                 106,            0.050055,            0.041757,            0.015809,              0.6563,             0.72468,             0.63111,             0.25932,            0.048115,            0.085103,            0.010631,            0.003003,            0.003003,            0.049603
